,ID,Set
197,4115,train
198,18087,train
199,10065,train
200,3145,train
201,19393,train
202,4463,train
203,16606,train
204,10147,train
205,1049,train
206,6359,train
207,15514,train
208,18863,train
209,44,train
210,9299,train
211,9359,train
212,646,train
213,4487,train
214,4564,train
215,414,train
216,3174,train
217,13550,train
218,3627,train
219,10190,train
220,729,train
221,15433,train
222,15293,train
223,6412,train
224,722,train
225,4577,train
226,913,train
227,18151,train
228,3691,train
229,9814,train
230,8978,train
231,11944,train
232,15286,train
233,15995,train
234,18925,train
235,18194,train
236,7126,train
237,969,train
238,4206,train
239,16588,train
240,770,train
241,2988,train
242,6185,train
243,7673,train
244,528,train
245,1365,train
246,16138,train
247,3830,train
248,1498,train
249,4083,train
250,16208,train
251,14844,train
252,19371,train
253,9840,train
254,1685,train
255,3252,train
256,13516,train
257,3596,train
258,10400,train
259,7593,train
260,7647,train
261,15175,train
262,13612,train
263,1332,train
264,4197,train
265,11963,train
266,21574,train
267,21150,train
268,15252,train
269,15256,train
270,119,train
271,16480,train
272,12867,train
273,12804,train
274,16446,train
275,21608,train
276,424,train
277,17854,train
278,15068,train
279,4496,train
280,58,train
281,4455,train
282,1180,train
283,16171,train
284,6727,train
285,18681,train
286,18930,train
287,12819,train
288,403,train
289,9039,train
290,31,train
291,9133,train
292,21393,train
293,18878,train
294,7464,train
295,7509,train
296,6342,train
297,717,train
298,19526,train
299,21429,train
300,4185,train
301,12699,train
302,19529,train
303,10540,train
304,15232,train
305,6370,train
306,13485,train
307,1301,train
308,18812,train
309,4144,train
310,753,train
311,9163,train
312,7260,train
313,10281,train
314,18874,train
315,15927,train
316,13190,train
317,11967,train
318,67,train
319,7438,train
320,4128,train
321,16119,train
322,18826,train
323,6545,train
324,19274,train
325,260,train
326,7409,train
327,6859,train
328,16531,train
329,7280,train
330,9015,train
331,16164,train
332,15434,train
333,4239,train
334,9881,train
335,384,train
336,13331,train
337,1007,train
338,3522,train
339,15716,train
340,18871,train
341,10483,train
342,14898,train
343,13340,train
344,4666,train
345,924,train
346,7430,train
347,7226,train
348,1298,train
349,856,train
350,16002,train
351,14894,train
352,13224,train
353,4665,train
354,21409,train
355,15459,train
356,15684,train
357,3749,train
358,10554,train
359,10151,train
360,12178,train
361,13447,train
362,6183,train
363,15,train
364,12150,train
365,4046,train
366,11830,train
367,20803,train
368,10334,train
369,10212,train
370,15019,train
371,7061,train
372,3911,train
373,3226,train
374,98,train
375,16114,train
376,4314,train
377,7208,train
378,19413,train
379,15528,train
380,53,train
381,3298,train
382,6759,train
383,19548,train
384,15317,train
385,3882,train
386,21525,train
387,9520,train
388,18529,train
389,6606,train
390,19479,train
391,7320,train
392,3817,train
393,6649,train
394,16187,train
395,15633,train
396,3755,train
397,7591,train
398,18357,train
399,16200,train
400,10627,train
401,454,train
402,3212,train
403,4158,train
404,12352,train
405,9001,train
406,578,train
407,18515,train
408,3848,train
409,18150,train
410,714,train
411,6981,train
412,654,train
413,16532,train
414,15656,train
415,15059,train
416,12669,train
417,13543,train
418,7309,train
419,12093,train
420,9184,train
421,17963,train
422,3333,train
423,20943,train
424,3165,train
425,12473,train
426,7488,train
427,1070,train
428,909,train
429,16360,train
430,9183,train
431,21603,train
432,15566,train
433,6416,train
434,3997,train
435,6487,train
436,20722,train
437,10386,train
438,20771,train
439,18666,train
440,6351,train
441,9995,train
442,9663,train
443,12205,train
444,14928,train
445,6953,train
446,15096,train
447,12598,train
448,227,train
449,12547,train
450,9712,train
451,19068,train
452,9214,train
453,15075,train
454,6477,train
455,15823,train
456,12256,train
457,18257,train
458,18791,train
459,1518,train
460,20916,train
461,3969,train
462,236,train
463,7431,train
464,15400,train
465,6573,train
466,17940,train
467,16039,train
468,6463,train
469,9477,train
470,3319,train
471,21200,train
472,1354,train
473,18132,train
474,3225,train
475,277,train
476,16518,train
477,7434,train
478,15052,train
479,15873,train
480,12947,train
481,4416,train
482,7334,train
483,9976,train
484,10113,train
485,97,train
486,7184,train
487,7020,train
488,20747,train
489,16452,train
490,21431,train
491,10063,train
492,86,train
493,3991,train
494,21078,train
495,15035,train
496,9982,train
497,18501,train
498,7617,train
499,19167,train
500,12917,train
501,7574,train
502,689,train
503,12330,train
504,7595,train
505,4633,train
506,7615,train
507,9506,train
508,10007,train
509,4173,train
510,3475,train
511,49,train
512,879,train
513,8977,train
514,6031,train
515,4153,train
516,7451,train
517,6875,train
518,19238,train
519,19032,train
520,674,train
521,21327,train
522,13225,train
523,6261,train
524,18358,train
525,15122,train
526,4429,train
527,21000,train
528,8961,train
529,15337,train
530,16462,train
531,1749,train
532,1447,train
533,4312,train
534,12332,train
535,7086,train
536,21351,train
537,1237,train
538,3237,train
539,3540,train
540,19524,train
541,3039,train
542,14849,train
543,9132,train
544,3286,train
545,21596,train
546,9088,train
547,880,train
548,9117,train
549,7254,train
550,20742,train
551,20743,train
552,3793,train
553,18595,train
554,12317,train
555,7142,train
556,17926,train
557,20894,train
558,9456,train
559,10607,train
560,1341,train
561,7351,train
562,590,train
563,14850,train
564,15598,train
565,233,train
566,7494,train
567,18102,train
568,7552,train
569,9234,train
570,9823,train
571,9004,train
572,18929,train
573,10393,train
574,18169,train
575,6564,train
576,108,train
577,21605,train
578,13598,train
579,18098,train
580,18159,train
581,3207,train
582,865,train
583,6299,train
584,18844,train
585,16514,train
586,4712,train
587,7212,train
588,17991,train
589,15041,train
590,7606,train
591,7587,train
592,10456,train
593,230,train
594,614,train
595,15688,train
596,4506,train
597,21285,train
598,21444,train
599,16278,train
600,7323,train
601,7201,train
602,5998,train
603,6845,train
604,21198,train
605,18547,train
606,10292,train
607,15687,train
608,11903,train
609,19410,train
610,13378,train
611,6121,train
612,9659,train
613,13067,train
614,3054,train
615,9953,train
616,3064,train
617,1342,train
618,3175,train
619,12103,train
620,3164,train
621,19302,train
622,6926,train
623,6963,train
624,4528,train
625,15008,train
626,13157,train
627,12229,train
628,510,train
629,19454,train
630,12731,train
631,15878,train
632,12564,train
633,989,train
634,10154,train
635,3898,train
636,6683,train
637,10528,train
638,3144,train
639,1204,train
640,3822,train
641,1631,train
642,16336,train
643,16589,train
644,15344,train
645,9439,train
646,6563,train
647,12044,train
648,7092,train
649,1028,train
650,19082,train
651,226,train
652,6509,train
653,9616,train
654,19348,train
655,15272,train
656,18239,train
657,15432,train
658,10253,train
659,3481,train
660,64,train
661,229,train
662,14863,train
663,16427,train
664,12624,train
665,13073,train
666,12161,train
667,9757,train
668,15563,train
669,8919,train
670,13377,train
671,12595,train
672,18268,train
673,15861,train
674,3566,train
675,9556,train
676,6268,train
677,21416,train
678,9633,train
679,19387,train
680,3383,train
681,10118,train
682,4149,train
683,13034,train
684,700,train
685,1590,train
686,808,train
687,9587,train
688,12320,train
689,15251,train
690,18960,train
691,1616,train
692,21315,train
693,18698,train
694,12169,train
695,19106,train
696,1768,train
697,12814,train
698,13087,train
699,6233,train
700,12202,train
701,18344,train
702,13568,train
703,16475,train
704,15693,train
705,16522,train
706,12131,train
707,10204,train
708,192,train
709,16353,train
710,927,train
711,3891,train
712,6434,train
713,3649,train
714,10128,train
715,3096,train
716,20823,train
717,10115,train
718,3415,train
719,21374,train
720,10339,train
721,1233,train
722,18822,train
723,3750,train
724,12721,train
725,3273,train
726,9579,train
727,15756,train
728,643,train
729,7033,train
730,500,train
731,60,train
732,9905,train
733,14871,train
734,1200,train
735,15204,train
736,1280,train
737,15738,train
738,19071,train
739,486,train
740,4056,train
741,12524,train
742,16242,train
743,3661,train
744,18693,train
745,4761,train
746,4174,train
747,9775,train
748,3796,train
749,13114,train
750,1277,train
751,481,train
752,12909,train
753,18282,train
754,3915,train
755,12610,train
756,4667,train
757,10440,train
758,13358,train
759,6776,train
760,6870,train
761,6973,train
762,6596,train
763,9340,train
764,16501,train
765,12033,train
766,9755,train
767,21482,train
768,16006,train
769,11851,train
770,12707,train
771,376,train
772,11872,train
773,1705,train
774,18055,train
775,620,train
776,7376,train
777,7684,train
778,15736,train
779,3411,train
780,13468,train
781,9226,train
782,12455,train
783,3539,train
784,3435,train
785,17902,train
786,1521,train
787,10057,train
788,5983,train
789,4378,train
790,13526,train
791,1461,train
792,15556,train
793,6256,train
794,12877,train
795,3669,train
796,12378,train
797,9992,train
798,10454,train
799,8887,train
800,9327,train
801,3336,train
802,10498,train
803,3868,train
804,1736,train
805,7069,train
806,19173,train
807,1739,train
808,13498,train
809,11906,train
810,6319,train
811,10611,train
812,15445,train
813,3134,train
814,4376,train
815,6474,train
816,3934,train
817,3758,train
818,15721,train
819,6960,train
820,13279,train
821,7368,train
822,18391,train
823,362,train
824,9904,train
825,16334,train
826,9920,train
827,15781,train
828,10163,train
829,15200,train
830,787,train
831,19005,train
832,9864,train
833,16413,train
834,16196,train
835,6219,train
836,18605,train
837,9090,train
838,16079,train
839,6548,train
840,15761,train
841,12032,train
842,251,train
843,8882,train
844,305,train
845,18227,train
846,7450,train
847,10431,train
848,15842,train
849,3105,train
850,12727,train
851,6971,train
852,18083,train
853,3032,train
854,3372,train
855,6662,train
856,15057,train
857,3704,train
858,18138,train
859,1331,train
860,6909,train
861,21008,train
862,16379,train
863,3982,train
864,3847,train
865,6892,train
866,7525,train
867,21279,train
868,999,train
869,19373,train
870,1688,train
871,11922,train
872,16558,train
873,21215,train
874,9695,train
875,4388,train
876,3615,train
877,21023,train
878,13569,train
879,13441,train
880,12180,train
881,16350,train
882,3221,train
883,642,train
884,6850,train
885,19212,train
886,7404,train
887,18002,train
888,7099,train
889,120,train
890,10305,train
891,3400,train
892,3416,train
893,12855,train
894,21347,train
895,18873,train
896,14885,train
897,11902,train
898,1373,train
899,12203,train
900,13161,train
901,10553,train
902,6443,train
903,9833,train
904,18527,train
905,1309,train
906,12622,train
907,4588,train
908,4171,train
909,18196,train
910,3301,train
911,16581,train
912,3780,train
913,1633,train
914,15280,train
915,3326,train
916,4622,train
917,7531,train
918,12241,train
919,3933,train
920,15296,train
921,8863,train
922,6028,train
923,667,train
924,4419,train
925,19001,train
926,3047,train
927,18566,train
928,3138,train
929,12703,train
930,13093,train
931,12538,train
932,7097,train
933,4234,train
934,6314,train
935,20790,train
936,12540,train
937,3929,train
938,6153,train
939,16305,train
940,6445,train
941,7117,train
942,3557,train
943,9297,train
944,15295,train
945,12601,train
946,15762,train
947,12375,train
948,18110,train
949,10543,train
950,16137,train
951,4621,train
952,9404,train
953,15320,train
954,14879,train
955,4123,train
956,10114,train
957,18714,train
958,539,train
959,11929,train
960,12418,train
961,10447,train
962,3120,train
963,1044,train
964,15466,train
965,9545,train
966,14854,train
967,55,train
968,3748,train
969,14951,train
970,15171,train
971,21491,train
972,4298,train
973,13063,train
974,3102,train
975,6193,train
976,15284,train
977,6878,train
978,13497,train
979,13138,train
980,11960,train
981,7394,train
982,1117,train
983,6894,train
984,1338,train
985,3179,train
986,1339,train
987,18254,train
988,1202,train
989,15487,train
990,15222,train
991,18228,train
992,10332,train
993,16150,train
994,20836,train
995,14883,train
996,12001,train
997,319,train
998,19456,train
999,10384,train
1000,9680,train
1001,18124,train
1002,12397,train
1003,118,train
1004,3951,train
1005,15420,train
1006,21346,train
1007,7312,train
1008,117,train
1009,4494,train
1010,3718,train
1011,20967,train
1012,9198,train
1013,20963,train
1014,19351,train
1015,6365,train
1016,18641,train
1017,18562,train
1018,3359,train
1019,4189,train
1020,10299,train
1021,4482,train
1022,12505,train
1023,4575,train
1024,6159,train
1025,9725,train
1026,16271,train
1027,14932,train
1028,14860,train
1029,21137,train
1030,16051,train
1031,15102,train
1032,6500,train
1033,9583,train
1034,13396,train
1035,6396,train
1036,18722,train
1037,10315,train
1038,9781,train
1039,9137,train
1040,6852,train
1041,7282,train
1042,14923,train
1043,15034,train
1044,6566,train
1045,20716,train
1046,10581,train
1047,13126,train
1048,6021,train
1049,386,train
1050,6191,train
1051,18312,train
1052,1608,train
1053,18715,train
1054,6622,train
1055,7076,train
1056,15960,train
1057,6811,train
1058,6119,train
1059,13470,train
1060,6969,train
1061,10111,train
1062,10443,train
1063,18065,train
1064,6725,train
1065,17998,train
1066,6757,train
1067,18944,train
1068,10044,train
1069,4421,train
1070,16195,train
1071,6905,train
1072,14933,train
1073,711,train
1074,19291,train
1075,410,train
1076,6344,train
1077,18586,train
1078,6840,train
1079,12222,train
1080,19316,train
1081,10354,train
1082,266,train
1083,15421,train
1084,12562,train
1085,1103,train
1086,1054,train
1087,12763,train
1088,12602,train
1089,4680,train
1090,4644,train
1091,838,train
1092,13532,train
1093,3507,train
1094,6828,train
1095,3960,train
1096,16295,train
1097,12860,train
1098,6258,train
1099,1329,train
1100,7677,train
1101,14943,train
1102,9954,train
1103,9612,train
1104,3140,train
1105,21090,train
1106,10073,train
1107,18119,train
1108,19272,train
1109,19394,train
1110,20973,train
1111,12765,train
1112,4368,train
1113,13094,train
1114,19187,train
1115,15879,train
1116,9533,train
1117,14994,train
1118,1400,train
1119,12157,train
1120,292,train
1121,1514,train
1122,21244,train
1123,21479,train
1124,7018,train
1125,20728,train
1126,6178,train
1127,10545,train
1128,18721,train
1129,3448,train
1130,13137,train
1131,914,train
1132,4170,train
1133,11975,train
1134,497,train
1135,8956,train
1136,4521,train
1137,20806,train
1138,7563,train
1139,10313,train
1140,21366,train
1141,18851,train
1142,8987,train
1143,6126,train
1144,3279,train
1145,3532,train
1146,9361,train
1147,7262,train
1148,12759,train
1149,15453,train
1150,7075,train
1151,15483,train
1152,21017,train
1153,16186,train
1154,13050,train
1155,8867,train
1156,18237,train
1157,21251,train
1158,15505,train
1159,16405,train
1160,1030,train
1161,18097,train
1162,12597,train
1163,282,train
1164,18066,train
1165,15624,train
1166,9726,train
1167,16209,train
1168,8996,train
1169,12907,train
1170,18436,train
1171,19085,train
1172,7194,train
1173,13465,train
1174,15458,train
1175,15336,train
1176,19141,train
1177,9391,train
1178,3341,train
1179,10219,train
1180,14939,train
1181,21199,train
1182,18539,train
1183,9062,train
1184,3708,train
1185,12930,train
1186,7265,train
1187,15941,train
1188,7005,train
1189,14843,train
1190,21126,train
1191,6967,train
1192,12431,train
1193,12446,train
1194,13256,train
1195,15498,train
1196,12874,train
1197,16571,train
1198,4688,train
1199,1140,train
1200,4166,train
1201,1655,train
1202,1550,train
1203,4067,train
1204,185,train
1205,364,train
1206,19379,train
1207,16443,train
1208,530,train
1209,6094,train
1210,1554,train
1211,7054,train
1212,4678,train
1213,9188,train
1214,6436,train
1215,3544,train
1216,15977,train
1217,16303,train
1218,6292,train
1219,10548,train
1220,280,train
1221,10560,train
1222,10585,train
1223,18307,train
1224,15869,train
1225,3857,train
1226,6716,train
1227,1047,train
1228,12031,train
1229,15667,train
1230,12306,train
1231,75,train
1232,13143,train
1233,12199,train
1234,18011,train
1235,3218,train
1236,9465,train
1237,7395,train
1238,18604,train
1239,12976,train
1240,1724,train
1241,11918,train
1242,9623,train
1243,1008,train
1244,18662,train
1245,18833,train
1246,7014,train
1247,15516,train
1248,15705,train
1249,8968,train
1250,18945,train
1251,1010,train
1252,12795,train
1253,259,train
1254,6957,train
1255,3622,train
1256,12193,train
1257,12310,train
1258,1523,train
1259,6605,train
1260,15119,train
1261,744,train
1262,3127,train
1263,17946,train
1264,15986,train
1265,15009,train
1266,4762,train
1267,15127,train
1268,21043,train
1269,3202,train
1270,972,train
1271,7624,train
1272,15437,train
1273,3774,train
1274,262,train
1275,13401,train
1276,9890,train
1277,15921,train
1278,9301,train
1279,9979,train
1280,10325,train
1281,3910,train
1282,3302,train
1283,10620,train
1284,20727,train
1285,6226,train
1286,15893,train
1287,3014,train
1288,3492,train
1289,21253,train
1290,13545,train
1291,15457,train
1292,19110,train
1293,7125,train
1294,1282,train
1295,20931,train
1296,10227,train
1297,10336,train
1298,18451,train
1299,6627,train
1300,3078,train
1301,18892,train
1302,9113,train
1303,1500,train
1304,10322,train
1305,10474,train
1306,16021,train
1307,16142,train
1308,15309,train
1309,15867,train
1310,15585,train
1311,15712,train
1312,14896,train
1313,12021,train
1314,19026,train
1315,16086,train
1316,13415,train
1317,16078,train
1318,9679,train
1319,16205,train
1320,15248,train
1321,3939,train
1322,13604,train
1323,10078,train
1324,4306,train
1325,3472,train
1326,890,train
1327,15549,train
1328,10427,train
1329,12816,train
1330,6773,train
1331,1744,train
1332,6756,train
1333,7691,train
1334,10563,train
1335,1120,train
1336,12282,train
1337,1150,train
1338,15891,train
1339,4121,train
1340,4076,train
1341,9937,train
1342,1206,train
1343,12234,train
1344,13345,train
1345,18251,train
1346,1276,train
1347,20958,train
1348,16145,train
1349,18765,train
1350,18167,train
1351,6955,train
1352,6372,train
1353,9180,train
1354,3098,train
1355,9642,train
1356,7544,train
1357,12334,train
1358,15488,train
1359,1423,train
1360,4459,train
1361,9121,train
1362,13339,train
1363,10493,train
1364,3650,train
1365,3819,train
1366,239,train
1367,212,train
1368,21559,train
1369,15172,train
1370,1531,train
1371,15223,train
1372,18001,train
1373,6001,train
1374,19525,train
1375,9129,train
1376,18364,train
1377,3423,train
1378,10588,train
1379,7245,train
1380,9742,train
1381,10362,train
1382,15965,train
1383,18549,train
1384,12453,train
1385,12523,train
1386,579,train
1387,13293,train
1388,6848,train
1389,7685,train
1390,20907,train
1391,10165,train
1392,3672,train
1393,6252,train
1394,1344,train
1395,1260,train
1396,18574,train
1397,21418,train
1398,7308,train
1399,12220,train
1400,6013,train
1401,16490,train
1402,9005,train
1403,4340,train
1404,1526,train
1405,3731,train
1406,15001,train
1407,4205,train
1408,16579,train
1409,21102,train
1410,13630,train
1411,15661,train
1412,12554,train
1413,9315,train
1414,3232,train
1415,19241,train
1416,12557,train
1417,9383,train
1418,12268,train
1419,10061,train
1420,15463,train
1421,7571,train
1422,18264,train
1423,21451,train
1424,18171,train
1425,144,train
1426,7,train
1427,9147,train
1428,6514,train
1429,14855,train
1430,9657,train
1431,3697,train
1432,7042,train
1433,10398,train
1434,4048,train
1435,11905,train
1436,4499,train
1437,1093,train
1438,16346,train
1439,17933,train
1440,6762,train
1441,13341,train
1442,12126,train
1443,3201,train
1444,18825,train
1445,20849,train
1446,4180,train
1447,7141,train
1448,3798,train
1449,4249,train
1450,17908,train
1451,18794,train
1452,19378,train
1453,6315,train
1454,10263,train
1455,3361,train
1456,12087,train
1457,6339,train
1458,851,train
1459,17971,train
1460,10355,train
1461,10215,train
1462,910,train
1463,13352,train
1464,9437,train
1465,9169,train
1466,18726,train
1467,4415,train
1468,21388,train
1469,4323,train
1470,19496,train
1471,3440,train
1472,12108,train
1473,6313,train
1474,12693,train
1475,9952,train
1476,6034,train
1477,1715,train
1478,1627,train
1479,12966,train
1480,20847,train
1481,12713,train
1482,9273,train
1483,18940,train
1484,7129,train
1485,6664,train
1486,21301,train
1487,7534,train
1488,15698,train
1489,12738,train
1490,9038,train
1491,9066,train
1492,6162,train
1493,15815,train
1494,15512,train
1495,9756,train
1496,21133,train
1497,12407,train
1498,4401,train
1499,18521,train
1500,12926,train
1501,6979,train
1502,9099,train
1503,15591,train
1504,16241,train
1505,4400,train
1506,12724,train
1507,4773,train
1508,560,train
1509,3142,train
1510,21160,train
1511,10475,train
1512,3545,train
1513,16139,train
1514,4684,train
1515,18149,train
1516,6702,train
1517,18118,train
1518,18847,train
1519,4642,train
1520,7136,train
1521,16478,train
1522,19205,train
1523,13127,train
1524,1450,train
1525,15427,train
1526,1632,train
1527,65,train
1528,15731,train
1529,19323,train
1530,524,train
1531,11974,train
1532,10096,train
1533,7594,train
1534,3840,train
1535,3555,train
1536,16260,train
1537,6945,train
1538,12504,train
1539,12537,train
1540,19493,train
1541,16220,train
1542,608,train
1543,9059,train
1544,16422,train
1545,4470,train
1546,19442,train
1547,3247,train
1548,1719,train
1549,12964,train
1550,13182,train
1551,121,train
1552,15045,train
1553,7008,train
1554,4328,train
1555,15900,train
1556,4362,train
1557,16414,train
1558,9052,train
1559,13260,train
1560,21268,train
1561,21272,train
1562,3948,train
1563,16564,train
1564,1097,train
1565,9331,train
1566,12690,train
1567,19258,train
1568,4160,train
1569,18957,train
1570,9529,train
1571,18050,train
1572,18463,train
1573,6697,train
1574,6996,train
1575,10223,train
1576,3004,train
1577,16230,train
1578,6450,train
1579,3466,train
1580,12327,train
1581,7582,train
1582,7318,train
1583,3016,train
1584,16080,train
1585,16243,train
1586,7205,train
1587,15117,train
1588,19534,train
1589,21171,train
1590,6239,train
1591,6250,train
1592,18710,train
1593,12339,train
1594,3330,train
1595,4079,train
1596,6998,train
1597,3015,train
1598,7121,train
1599,10511,train
1600,6308,train
1601,20929,train
1602,10015,train
1603,12290,train
1604,13307,train
1605,20781,train
1606,13102,train
1607,6006,train
1608,3674,train
1609,10629,train
1610,3494,train
1611,18622,train
1612,21607,train
1613,21610,train
1614,21448,train
1615,13204,train
1616,7439,train
1617,10195,train
1618,6714,train
1619,15951,train
1620,9569,train
1621,15847,train
1622,15515,train
1623,18192,train
1624,16359,train
1625,15473,train
1626,13524,train
1627,16032,train
1628,11957,train
1629,18405,train
1630,10638,train
1631,3244,train
1632,18388,train
1633,9454,train
1634,13332,train
1635,9063,train
1636,13386,train
1637,10157,train
1638,4714,train
1639,6273,train
1640,21589,train
1641,19333,train
1642,3667,train
1643,1660,train
1644,74,train
1645,15491,train
1646,13184,train
1647,21224,train
1648,19350,train
1649,19046,train
1650,9374,train
1651,3482,train
1652,707,train
1653,7448,train
1654,12435,train
1655,4649,train
1656,335,train
1657,3089,train
1658,16252,train
1659,640,train
1660,3112,train
1661,1302,train
1662,4544,train
1663,263,train
1664,6200,train
1665,617,train
1666,6628,train
1667,1437,train
1668,7216,train
1669,13570,train
1670,12945,train
1671,16477,train
1672,12273,train
1673,15597,train
1674,1662,train
1675,19435,train
1676,18494,train
1677,10048,train
1678,18019,train
1679,7436,train
1680,18189,train
1681,12995,train
1682,13471,train
1683,3459,train
1684,13014,train
1685,12636,train
1686,6080,train
1687,15043,train
1688,21092,train
1689,4418,train
1690,6617,train
1691,15218,train
1692,13554,train
1693,408,train
1694,10026,train
1695,12356,train
1696,339,train
1697,10574,train
1698,13402,train
1699,18790,train
1700,1041,train
1701,7327,train
1702,10501,train
1703,6822,train
1704,686,train
1705,1671,train
1706,6177,train
1707,9843,train
1708,7343,train
1709,12581,train
1710,16399,train
1711,19169,train
1712,12986,train
1713,1168,train
1714,13061,train
1715,10549,train
1716,10370,train
1717,3280,train
1718,13460,train
1719,12649,train
1720,15707,train
1721,1183,train
1722,363,train
1723,17947,train
1724,13172,train
1725,12957,train
1726,3582,train
1727,4157,train
1728,12861,train
1729,633,train
1730,16304,train
1731,12368,train
1732,9091,train
1733,14930,train
1734,18581,train
1735,16293,train
1736,574,train
1737,16575,train
1738,21386,train
1739,872,train
1740,7104,train
1741,8914,train
1742,16573,train
1743,3069,train
1744,19520,train
1745,398,train
1746,6275,train
1747,6784,train
1748,13153,train
1749,15936,train
1750,4071,train
1751,4176,train
1752,4736,train
1753,6911,train
1754,12148,train
1755,7687,train
1756,16194,train
1757,673,train
1758,3342,train
1759,4286,train
1760,19184,train
1761,9206,train
1762,9955,train
1763,6965,train
1764,15513,train
1765,4691,train
1766,298,train
1767,21166,train
1768,15372,train
1769,10074,train
1770,21382,train
1771,15896,train
1772,19023,train
1773,15772,train
1774,17950,train
1775,19439,train
1776,7636,train
1777,13057,train
1778,17967,train
1779,12987,train
1780,21072,train
1781,12127,train
1782,1346,train
1783,18943,train
1784,9802,train
1785,11852,train
1786,4065,train
1787,3709,train
1788,10401,train
1789,916,train
1790,19232,train
1791,12276,train
1792,3784,train
1793,15625,train
1794,15289,train
1795,12921,train
1796,16074,train
1797,268,train
1798,16111,train
1799,1485,train
1800,9958,train
1801,3914,train
1802,1226,train
1803,3732,train
1804,21030,train
1805,4319,train
1806,3071,train
1807,432,train
1808,19220,train
1809,10155,train
1810,12952,train
1811,12866,train
1812,1595,train
1813,3710,train
1814,15386,train
1815,6862,train
1816,850,train
1817,15726,train
1818,436,train
1819,6608,train
1820,16190,train
1821,15744,train
1822,9407,train
1823,3364,train
1824,16176,train
1825,3082,train
1826,3808,train
1827,6993,train
1828,3918,train
1829,14965,train
1830,6138,train
1831,13506,train
1832,4628,train
1833,1296,train
1834,4315,train
1835,16061,train
1836,4639,train
1837,16468,train
1838,3506,train
1839,15511,train
1840,1062,train
1841,16108,train
1842,6741,train
1843,7480,train
1844,15118,train
1845,21230,train
1846,6497,train
1847,4592,train
1848,13295,train
1849,4412,train
1850,7410,train
1851,3374,train
1852,1118,train
1853,15840,train
1854,15759,train
1855,18484,train
1856,1286,train
1857,18213,train
1858,21015,train
1859,21233,train
1860,16015,train
1861,7401,train
1862,4193,train
1863,3362,train
1864,21210,train
1865,61,train
1866,9626,train
1867,10351,train
1868,16082,train
1869,15576,train
1870,7444,train
1871,10578,train
1872,8898,train
1873,14902,train
1874,10080,train
1875,18421,train
1876,19327,train
1877,3889,train
1878,733,train
1879,12133,train
1880,1597,train
1881,10156,train
1882,9936,train
1883,8896,train
1884,16182,train
1885,10127,train
1886,1643,train
1887,21286,train
1888,12784,train
1889,6489,train
